transaction_id,account_id,transaction_type,amount,currency,txn_date,txn_time,status,reference_no
TXN0000001,ACC000347,Debit,42416.73,INR,2022-09-24,00:00:00,Success,REF637044
TXN0000002,ACC000458,ATM Withdrawal,68643.53,INR,2021-12-19,00:00:00,Failed,REF552934
TXN0000003,ACC000333,Debit,70649.76,INR,2023-05-29,00:00:00,Success,REF715569
TXN0000004,ACC000047,RTGS,12329.99,INR,2024-08-20,00:00:00,Pending,REF264190
TXN0000005,ACC000060,Online Payment,50738.67,INR,2022-11-18,00:00:00,Success,REF207436
TXN0000006,ACC000534,ATM Withdrawal,51112.86,INR,2021-12-11,00:00:00,Success,REF802121
TXN0000007,ACC000215,NEFT,25970.05,INR,2023-07-19,00:00:00,Success,REF351831
TXN0000008,ACC000479,Credit,70192.68,INR,2024-09-17,00:00:00,Failed,REF205877
TXN0000009,ACC000204,NEFT,8872.26,INR,2024-11-08,00:00:00,Failed,REF482024
TXN0000010,ACC000344,ATM Withdrawal,26694.83,INR,2024-10-05,00:00:00,Failed,REF333403
TXN0000011,ACC000039,NEFT,41716.13,INR,2023-06-02,00:00:00,Success,REF263296
TXN0000012,ACC000087,Debit,5779.56,INR,2022-01-29,00:00:00,Failed,REF758974
TXN0000013,ACC000103,NEFT,50279.84,INR,2023-09-28,00:00:00,Failed,REF303443
TXN0000014,ACC000102,RTGS,56315.76,INR,2023-07-07,00:00:00,Failed,REF166545
TXN0000015,ACC000485,Transfer,14215.72,INR,2023-09-18,00:00:00,Failed,REF233226
TXN0000016,ACC000026,Transfer,57856.33,INR,2021-04-03,00:00:00,Pending,REF928808
TXN0000017,ACC000077,Debit,80196.11,INR,2022-05-07,00:00:00,Success,REF331732
TXN0000018,ACC000597,Online Payment,34862.66,INR,2024-11-25,00:00:00,Failed,REF526401
TXN0000019,ACC000284,Transfer,97818.05,INR,2023-06-16,00:00:00,Success,REF103774
TXN0000020,ACC000136,Debit,54435.5,INR,2023-06-02,00:00:00,Success,REF767661
TXN0000021,ACC000160,Online Payment,71712.66,INR,2021-08-24,00:00:00,Failed,REF196425
TXN0000022,ACC000227,Credit,15385.14,INR,2022-12-26,00:00:00,Success,REF420899
TXN0000023,ACC000326,IMPS,86524.53,INR,2024-04-19,00:00:00,Failed,REF775390
TXN0000024,ACC000580,IMPS,19734.19,INR,2023-11-29,00:00:00,Success,REF606426
TXN0000025,ACC000346,Transfer,37432.66,INR,2023-11-12,00:00:00,Pending,REF716608
TXN0000026,ACC000228,EMI,27813.97,INR,2023-10-27,00:00:00,Success,REF628366
TXN0000027,ACC000023,NEFT,43030.63,INR,2024-05-09,00:00:00,Success,REF145726
TXN0000028,ACC000545,Online Payment,27651.4,INR,2024-07-10,00:00:00,Pending,REF567530
TXN0000029,ACC000384,IMPS,47687.46,INR,2024-12-13,00:00:00,Pending,REF668889
TXN0000030,ACC000385,IMPS,29110.64,INR,2023-04-04,00:00:00,Pending,REF133388
TXN0000031,ACC000263,RTGS,32135.76,INR,2024-10-28,00:00:00,Success,REF864702
TXN0000032,ACC000463,UPI,70954.18,INR,2023-07-21,00:00:00,Failed,REF190384
TXN0000033,ACC000370,ATM Withdrawal,82620.75,INR,2023-06-05,00:00:00,Pending,REF870764
TXN0000034,ACC000262,UPI,69380.65,INR,2022-07-13,00:00:00,Pending,REF163827
TXN0000035,ACC000350,UPI,41021.96,INR,2023-06-15,00:00:00,Pending,REF650265
TXN0000036,ACC000313,ATM Withdrawal,34105.86,INR,2023-08-26,00:00:00,Success,REF854606
TXN0000037,ACC000191,RTGS,10299.31,INR,2022-02-08,00:00:00,Failed,REF610869
TXN0000038,ACC000045,Transfer,89548.31,INR,2023-05-11,00:00:00,Failed,REF402590
TXN0000039,ACC000432,Transfer,31473.25,INR,2024-08-06,00:00:00,Success,REF847413
TXN0000040,ACC000162,UPI,28165.15,INR,2024-10-13,00:00:00,Success,REF447600
TXN0000041,ACC000038,Transfer,89083.86,INR,2023-05-25,00:00:00,Failed,REF301642
TXN0000042,ACC000156,UPI,50972.68,INR,2021-08-17,00:00:00,Failed,REF560881
TXN0000043,ACC000523,NEFT,99522.31,INR,2022-06-07,00:00:00,Success,REF510994
TXN0000044,ACC000400,Transfer,37990.35,INR,2021-01-23,00:00:00,Pending,REF489825
TXN0000045,ACC000117,UPI,33362.09,INR,2024-10-23,00:00:00,Success,REF754905
TXN0000046,ACC000193,ATM Withdrawal,2135.81,INR,2024-10-13,00:00:00,Pending,REF740666
TXN0000047,ACC000238,Online Payment,9922.82,INR,2024-12-21,00:00:00,Success,REF344675
TXN0000048,ACC000483,EMI,77248.9,INR,2022-10-22,00:00:00,Success,REF138164
TXN0000049,ACC000586,UPI,51651.15,INR,2024-05-17,00:00:00,Success,REF634807
TXN0000050,ACC000472,Debit,23813.06,INR,2023-06-22,00:00:00,Failed,REF536673
TXN0000051,ACC000372,Credit,90240.28,INR,2021-08-26,00:00:00,Failed,REF518847
TXN0000052,ACC000247,NEFT,24432.91,INR,2024-04-17,00:00:00,Success,REF495530
TXN0000053,ACC000039,IMPS,79660.32,INR,2022-09-15,00:00:00,Failed,REF592186
TXN0000054,ACC000491,RTGS,98701.86,INR,2021-04-22,00:00:00,Pending,REF498791
TXN0000055,ACC000474,ATM Withdrawal,59942.38,INR,2021-12-25,00:00:00,Pending,REF983071
TXN0000056,ACC000481,IMPS,95628.97,INR,2021-11-24,00:00:00,Success,REF372616
TXN0000057,ACC000451,Debit,31135.77,INR,2022-03-12,00:00:00,Pending,REF102245
TXN0000058,ACC000070,Debit,90508.94,INR,2022-01-12,00:00:00,Failed,REF105039
TXN0000059,ACC000443,NEFT,50828.09,INR,2022-08-16,00:00:00,Pending,REF464743
TXN0000060,ACC000529,UPI,98184.41,INR,2021-12-13,00:00:00,Success,REF635403
TXN0000061,ACC000541,RTGS,11487.83,INR,2022-08-18,00:00:00,Pending,REF319694
TXN0000062,ACC000226,NEFT,35841.67,INR,2022-11-19,00:00:00,Pending,REF744685
TXN0000063,ACC000573,EMI,27469.07,INR,2021-06-22,00:00:00,Pending,REF851403
TXN0000064,ACC000379,Debit,36667.1,INR,2023-12-26,00:00:00,Pending,REF443476
TXN0000065,ACC000141,UPI,67432.12,INR,2021-08-22,00:00:00,Failed,REF269237
TXN0000066,ACC000428,Credit,95693.83,INR,2023-01-10,00:00:00,Success,REF521554
TXN0000067,ACC000004,Transfer,99845.88,INR,2022-02-09,00:00:00,Pending,REF657349
TXN0000068,ACC000458,UPI,40649.03,INR,2022-04-22,00:00:00,Success,REF928336
TXN0000069,ACC000469,Transfer,83207.95,INR,2023-02-07,00:00:00,Pending,REF161077
TXN0000070,ACC000030,NEFT,22049.11,INR,2022-10-19,00:00:00,Pending,REF520990
TXN0000071,ACC000044,RTGS,54623.06,INR,2022-02-09,00:00:00,Pending,REF281394
TXN0000072,ACC000070,Transfer,69415.03,INR,2022-06-14,00:00:00,Pending,REF626136
TXN0000073,ACC000140,EMI,77064.12,INR,2024-09-10,00:00:00,Pending,REF429239
TXN0000074,ACC000298,IMPS,53466.98,INR,2023-09-17,00:00:00,Pending,REF746539
TXN0000075,ACC000114,Transfer,27445.68,INR,2022-09-09,00:00:00,Pending,REF310893
TXN0000076,ACC000560,EMI,78771.37,INR,2024-03-16,00:00:00,Success,REF804506
TXN0000077,ACC000454,UPI,56711.88,INR,2023-01-16,00:00:00,Failed,REF570259
TXN0000078,ACC000564,Transfer,82233.36,INR,2024-08-29,00:00:00,Success,REF184712
TXN0000079,ACC000034,EMI,93397.68,INR,2023-11-15,00:00:00,Pending,REF254770
TXN0000080,ACC000274,Debit,17801.8,INR,2023-12-03,00:00:00,Success,REF116520
TXN0000081,ACC000236,RTGS,8784.24,INR,2024-11-11,00:00:00,Failed,REF658614
TXN0000082,ACC000245,Transfer,20383.4,INR,2024-07-23,00:00:00,Failed,REF732582
TXN0000083,ACC000027,Transfer,33723.65,INR,2021-05-16,00:00:00,Success,REF123559
TXN0000084,ACC000124,Credit,16052.26,INR,2022-08-23,00:00:00,Pending,REF392285
TXN0000085,ACC000308,Debit,87019.63,INR,2023-06-21,00:00:00,Pending,REF934461
TXN0000086,ACC000288,IMPS,92657.06,INR,2021-05-01,00:00:00,Pending,REF400220
TXN0000087,ACC000234,Online Payment,9239.57,INR,2024-09-16,00:00:00,Pending,REF607526
TXN0000088,ACC000147,NEFT,69961.79,INR,2023-08-09,00:00:00,Failed,REF924250
TXN0000089,ACC000467,ATM Withdrawal,93945.59,INR,2022-03-28,00:00:00,Failed,REF383903
TXN0000090,ACC000523,ATM Withdrawal,13407.16,INR,2022-09-18,00:00:00,Failed,REF147819
TXN0000091,ACC000230,Debit,21805.32,INR,2023-01-25,00:00:00,Failed,REF634614
